00JQS,5r1k/pb3Qpp/2p5/5p2/3P4/8/PPP2PPP/4R1K1 b - - 0 21,f8f7 e1e8 f7f8 e8f8,600,86,76,602,backRankMate endgame mate mateIn2 short,https://lichess.org/jB9KjawU/black#42
00fgg,4r1k1/p4ppp/8/8/8/8/PP1b1PPP/K2R4 w - - 0 21,d1d2 e8e1 d2d1 e1d1,600,90,63,177,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/AjVJZKD1#41
01337,1k1r4/ppp3r1/8/P1b5/4R3/7P/1PP5/R6K b - - 0 25,d8d2 e4e8 d2d8 e8d8,600,92,89,352,backRankMate endgame mate mateIn2 short,https://lichess.org/rf2MrMXn/black#50
00kQE,1rb3k1/p5pp/1p6/3R4/2B1p3/8/PP3rPP/1K5R b - - 1 26,g8h8 d5d8 f2f8 d8f8,600,94,88,584,backRankMate endgame mate mateIn2 short,https://lichess.org/X9v1Mn91/black#52
00ns1,5rk1/pp5p/2p1P1p1/3pN3/5r2/2P4Q/PP4PP/R4q1K w - - 2 25,a1f1 f4f1,600,99,43,56,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/9IfhjtAA#49
01MPw,3r4/p1k3q1/1p2p2p/2p1n1p1/2P1N3/P2R2Q1/1P3PPP/6K1 w - - 1 29,d3e3 d8d1 e3e1 d1e1,628,95,62,147,backRankMate endgame mate mateIn2 short,https://lichess.org/XVfpxq4Y#57
0042j,3r2k1/4nppp/pq1p1b2/1p2P3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 b - - 0 24,d6e5 d2d8 b6d8 d1d8,634,83,96,289,backRankMate mate mateIn2 middlegame short,https://lichess.org/DuM2FZjg/black#48
00dpQ,6k1/5ppp/8/4rP2/1r4P1/2RK3P/8/7B b - - 0 47,b4b5 c3c8 e5e8 c8e8,666,96,85,177,backRankMate endgame mate mateIn2 short,https://lichess.org/8DGDxXX7/black#94
00o7c,2r3k1/p4ppp/1pb1pq2/1P6/2Q1PP2/6P1/P5BP/2R3K1 b - - 0 24,c6b7 c4c8 b7c8 c1c8 f6d8 c8d8,672,99,95,349,backRankMate endgame long mate mateIn3,https://lichess.org/3D9Cq2HT/black#48
008GK,1k1r4/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B3NRK1 b - - 4 31,d8d1 f1f8 d1d8 f8d8,705,92,95,567,backRankMate endgame mate mateIn2 short,https://lichess.org/9vFFDYsH/black#62
005N7,r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,721,93,93,957,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/jxZhmGhg/black#64
00MS3,rn1qr1k1/1p2bppp/2p2B2/p2p4/3P4/2N2N2/PPP1QPPP/2KRR3 b - - 0 12,e7f6 e2e8 d8e8 e1e8,824,83,81,120,backRankMate mate mateIn2 middlegame short,https://lichess.org/Eia6KIcR/black#24
00aBq,r2r2k1/pp3ppp/1qn2b2/3R4/4QB2/1P3N2/P4PPP/4R1K1 b - - 0 18,d8d5 e4e8 a8e8 e1e8,920,77,88,295,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/0AybhVJm/black#36
00O9a,1k3r2/q5r1/2Qp3p/N2Bp3/4P1p1/P7/1PP2PPP/R5K1 w - - 12 35,a5c4 a7f2 g1h1 f2f1 a1f1 f8f1,927,76,100,105,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/t6wbqTty#69
00NOI,3r4/2k2p1p/pp2pp2/2p5/3nN3/6P1/PPP2PRP/2K5 w - - 2 23,e4f6 d4e2 c1b1 d8d1,966,89,60,32,backRankMate endgame mate mateIn2 short,https://lichess.org/Z7mmtXNG#45
00pSv,5k2/5p1p/6p1/1p2q3/2p1p1n1/1P2P3/P1R1QPPP/6K1 w - - 0 26,e2g4 e5a1 c2c1 a1c1 g4d1 c1d1,1020,93,86,29,backRankMate endgame long mate mateIn3,https://lichess.org/AE7pbh2M#51
00RYH,1k5r/ppp1R2p/3r1p2/5Q2/3p4/2qP4/2P2PPP/2K1R3 b - - 5 26,d6a6 e7e8 h8e8 e1e8,1031,81,89,112,backRankMate endgame mate mateIn2 short,https://lichess.org/qGI2u50w/black#52
01S2P,r4rk1/5qpp/p1p1p3/3pB3/6Q1/8/PPP2PPP/R3R1K1 w - - 4 18,e1e3 f7f2 g1h1 f2f1 a1f1 f8f1,1122,74,100,539,backRankMate fork long mate mateIn3 middlegame sacrifice,https://lichess.org/PpvbkBkX#35
001Wz,4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1128,81,87,54,backRankMate endgame mate mateIn2 short,https://lichess.org/84RH3LaP/black#42
01XyB,r5k1/2Q2ppp/6n1/8/3Pq3/p3P3/P5PP/5RK1 b - - 1 37,g6h4 c7f7 g8h8 f7f8 a8f8 f1f8,1130,79,78,113,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/nLHbhLSa/black#74
