01GC2,3b4/pp2kprp/8/1Bp5/4R3/1P6/P4PPP/1K6 b - - 0 22,e7f8 e4e8
00Xiu,8/pp3Q1p/1n2B1pk/8/6Pq/7P/PPP2P2/2K5 w - - 10 31,f2f4 h4e1
00ohT,6rk/3R3p/4P2r/1p3p2/p7/P1P5/1P3RpK/4Q3 w - - 1 42,h2g1 h6h1
00ns1,5rk1/pp5p/2p1P1p1/3pN3/5r2/2P4Q/PP4PP/R4q1K w - - 2 25,a1f1 f4f1
01Egl,2k5/r5p1/2K2p1p/8/7P/p7/8/4R3 b - - 7 61,a3a2 e1e8
01J5O,r4r1k/1pp1NppR/3p4/p3n3/4P3/1PPP2P1/1P1K2P1/3R4 b - - 0 22,h8h7 d1h1
00DPQ,2k4r/pp3pp1/4pn2/2np2p1/8/1B1P1Pq1/PPPN1R2/R2Q3K w - - 6 20,f2h2 g3h2
00OPk,6rk/7p/R2N3P/1r6/1P5K/P7/8/8 b - - 4 50,b5d5 d6f7
010Jc,rnb1k2r/bpqp1pp1/p3p3/7p/4P1n1/1NNB3P/PPP2PP1/R1BQ1R1K w kq - 1 11,d1e2 c7h2
00IaZ,4R3/1k2R3/3K2p1/1P6/1P6/2rp3r/8/8 b - - 3 45,b7b6 e8b8
00pmn,8/P6p/6p1/1k6/3pq3/1PP5/6PP/3Q2K1 w - - 0 35,d1d4 e4e1
00JO7,5rk1/ppq3pR/4p1r1/3p4/8/2P4Q/PP3RPP/6K1 b - - 0 22,c7c5 h7h8
01RPQ,1Q6/2Pk4/p3pp1p/3q2p1/1p6/1P2P1P1/5P1P/6K1 b - - 2 42,d5c6 b8d8
01Lyl,3r1rk1/pp4b1/2p2p2/5P1p/6n1/2N2B2/PPP1Q1Pq/3RR1K1 w - - 2 26,g1f1 h2h1
004iZ,r2r2k1/2q1bpp1/3p1n1p/1ppN4/1P1BP3/P5Q1/4RPPP/R5K1 b - - 1 20,f6d5 g3g7
00nlD,1r2r3/pp3pk1/2pp2p1/1P2p2p/2P1N1nq/3PP3/P2Q1PB1/1R3RK1 w - - 0 23,e4g3 h4h2
00fZM,5rk1/1q3r1p/3p2RQ/3p4/3B4/2P2P2/P5PP/6K1 b - - 0 30,h7g6 h6h8
00QY3,2k3r1/pp5p/4p3/2p2p2/2P5/P4P1q/1PQ1RR1b/7K w - - 0 32,f2h2 h3f1
018Bi,8/3k1r2/p7/1p3p1P/3Q1PPB/P1n4K/1b1p4/3q4 b - - 10 55,d7e8 d4d8
01QLj,5rk1/p4ppp/7q/4p3/1PP2b2/P4Q2/3r2PP/2B1RR1K w - - 3 23,c1d2 h6h2
